,price,Position,combinedForecast,Profit&Loss,Profit&Loss
2014-02-21,574.25,-0.0,-5.223580352179479,-0.011686600645134604,3989.063142120448
2014-02-24,575.0,-0.0,-4.896188866516702,-0.011685793110700615,3989.0514563273373
2014-02-25,577.75,-0.0,-4.433855062745055,-0.011684965215408738,3989.039771362122
2014-02-26,576.5,-0.0,-4.131546701902983,-0.011684117569529917,3989.0280872445524
2014-02-27,571.0,-0.0,-4.240279447486704,-0.011683250771511666,3989.016403993781
2014-02-28,581.5,-0.0,-3.6964077092552725,-0.011682365407068573,3989.0047216283738
2014-03-03,586.5,-0.0,-2.9003161811697633,-0.011681462049637048,3988.993040166324
2014-03-04,596.5,-0.0,-1.5103736464863402,-0.011680541261739563,3988.9813596250624
2014-03-05,593.25,-0.0,-0.6250154433371164,-0.011679603593165666,3988.9696800214692
2014-03-06,599.25,-0.0,0.47826190182509815,-0.011678649582790968,3988.9580013718864
2014-03-07,594.75,-0.0,1.123639159203224,-0.011677679758122395,3988.9463236921283
2014-03-10,586.5,-0.0,1.1045763858237172,-0.011676694636662432,3988.9346469974917
2014-03-11,592.25,-0.0,1.4556788854466587,-0.01167569472318064,3988.9229713027685
2014-03-12,596.0,-0.0,1.9849104839912692,-0.01167468051380638,3988.9112966222547
2014-03-13,594.0,-0.0,2.3319735129133035,-0.011673652492845576,3988.899622969762
2014-03-14,596.0,-0.0,2.770118989849829,-0.011672611135509214,3988.8879503586263
2014-03-17,591.5,-0.0,2.7934518985838115,-0.011671556906094338,3988.87627880172
2014-03-18,595.125,-0.0,3.075829500390695,-0.011670490259803046,3988.8646083114604
2014-03-19,598.25,-0.0,3.5151112276359258,-0.011669411642287741,3988.852938899818
2014-03-20,590.5,-0.0,3.143884084415868,-0.01166832148874164,3988.8412705783294
2014-03-21,590.0,-0.0,3.0562079920748224,-0.011667220226172503,3988.829603358103
2014-03-24,,-0.0,3.055895654791527,-0.0116661082720384,3988.817937249831
2014-03-25,596.5,-0.0,3.298857521549254,-0.011664986035157199,3988.806272263796
2014-03-26,594.0,-0.0,3.39087471935988,-0.011663853914797073,3988.794608409881
2014-03-27,597.75,-0.0,3.6795549270900607,-0.01166271230295024,3988.7829456975783
2014-03-28,596.0,-0.0,3.841226947460332,-0.011661561582513968,3988.7712841359958
2014-03-31,608.0,-0.0,4.020431583430401,-0.011660402127290581,3988.7596237338685
2014-04-01,614.25,-0.0,4.946891920694725,-0.011659234304715937,3988.7479644995637
2014-04-02,607.5,-0.0,5.124124158679502,-0.011658058472676203,3988.736306441091
2014-04-03,611.75,-0.0,5.7446835919596495,-0.011656874982236332,3988.724649566109
2014-04-04,,-0.0,5.744290862167286,-0.011655684176730574,3988.712993881932
2014-04-07,614.75,-0.0,6.422054987031521,-0.011654486391762475,3988.7013393955403
2014-04-08,,-0.0,6.421587860438532,-0.011653281954750128,3988.6896861135856
2014-04-09,,-0.0,6.421124085406777,-0.011652071187654656,3988.678034042398
2014-04-10,615.25,-0.0,7.181070289334495,-0.011650854404251731,3988.6663831879937
2014-04-11,609.0,-0.0,7.03859833772579,-0.011649631911495817,3988.654733556082
2014-04-14,613.5,-0.0,7.487794663396314,-0.011648404009520164,3988.6430851520727
2014-04-15,613.25,-0.0,7.966656823521477,-0.011647170991636813,3988.631437981081
2014-04-16,608.75,-0.0,7.786586117036768,-0.011645933144791343,3988.6197920479362
2014-04-17,606.5,-0.0,7.660743396853899,-0.01164469074956287,3988.6081473571867
2014-04-18,,-0.0,7.66016779363784,-0.011643444080618792,3988.596503913106
2014-04-21,600.0,-0.0,6.842485389069007,-0.011642193405350554,3988.5848617197007
2014-04-22,605.5,-0.0,6.512123253047623,-0.011640938985692628,3988.573220780715
2014-04-23,614.25,-0.0,6.445924685781018,-0.011639681078122521,3988.561581099637
2014-04-24,613.0,-0.0,6.769711304294491,-0.011638419932296529,3988.5499426797046
2014-04-25,615.5,-0.0,7.236631442825581,-0.011637155792868725,3988.5383055239117
2014-04-28,616.25,-0.0,7.7140110474357675,-0.011635888898126723,3988.5266696350136
2014-04-29,622.5,-0.0,8.209652698393354,-0.011634619482265407,3988.5150350155313
2014-04-30,619.75,-0.0,8.513841196191612,-0.011633347772203706,3988.503401667759
2014-05-01,610.5,-0.0,7.238855025179976,-0.011632073990767822,3988.4917695937684
2014-05-02,603.5,-0.0,6.316539135918328,-0.011630798355781735,3988.4801387954126
2014-05-05,609.75,-0.0,5.963218622266412,-0.011629521079157712,3988.4685092743334
2014-05-06,619.5,-0.0,5.859288914445899,-0.011628242367805797,3988.4568810319656
2014-05-07,619.5,-0.0,6.223721043744603,-0.011626962424543308,3988.445254069541
2014-05-08,621.25,-0.0,6.64308710762296,-0.011625681446730596,3988.4336283880943
2014-05-09,609.0,-0.0,5.408828363682327,-0.011624399627635285,3988.4220039884667
2014-05-12,601.75,-0.0,4.654689067588599,-0.011623117154613283,3988.410380871312
2014-05-13,604.0,-0.0,4.258690105038614,-0.011621834211837268,3988.3987590371003
2014-05-14,598.75,-0.0,3.5964946246568856,-0.011620550978477695,3988.387138486122
2014-05-15,590.75,-0.0,2.5746697813105968,-0.011619267629612295,3988.375519218492
2014-05-16,591.25,-0.0,1.8119095532361476,-0.011617984335316578,3988.363901234157
2014-05-19,585.75,-0.0,0.841676460822616,-0.011616701262028073,3988.352284532895
2014-05-20,582.0,-0.0,-0.19372013130332524,-0.011615418572546332,3988.3406691143223
2014-05-21,581.0,-0.0,-1.1846023684533986,-0.011614136424668686,3988.3290549778976
2014-05-22,583.5,-0.0,-1.9356771087570157,-0.011612854972554487,3988.317442122925
2014-05-23,584.0,-0.0,-2.606652184376556,-0.011611574367179855,3988.305830548558
2014-05-26,,-0.0,-2.606626121756627,-0.011610294754973438,3988.294220253803
2014-05-27,576.5,-0.0,-3.6471287848651377,-0.011609016278271156,3988.2826112375246
2014-05-28,580.0,-0.0,-4.342548424343299,-0.011607739077135193,3988.2710034984475
2014-05-29,573.75,-0.0,-5.221313426147987,-0.011606463286625512,3988.259397035161
2014-05-30,566.75,-0.0,-6.298251237025683,-0.011605189039073593,3988.247791846122
2014-06-02,568.25,-0.0,-7.298633208348412,-0.011603916463627684,3988.236187929658
2014-06-03,563.25,-0.0,-8.408567540633634,-0.011602645684888557,3988.2245852839733
2014-06-04,562.5,-0.0,-9.563028106576057,-0.011601376825637999,3988.2129839071476
2014-06-05,557.75,-0.0,-10.747228316717184,-0.011600110003655573,3988.201383797144
2014-06-06,567.0,-0.0,-9.892617263308772,-0.011598845335811347,3988.189784951808
2014-06-09,560.5,-0.0,-10.412083029897088,-0.011597582933518424,3988.1781873688747
2014-06-10,554.75,-0.0,-11.246167584512632,-0.01159632290728041,3988.1665910459674
2014-06-11,552.25,-0.0,-12.328809283565407,-0.011595065362598689,3988.154995980605
2014-06-12,553.75,-0.0,-13.094775960606416,-0.011593810403610405,3988.143402170201
2014-06-13,557.25,-0.0,-13.338460330409848,-0.01159255813126947,3988.13180961207
2014-06-16,552.0,-0.0,-13.922110475316462,-0.01159130864243707,3988.1202183034275
2014-06-17,550.0,-0.0,-14.806473929972157,-0.011590062033064896,3988.1086282413944
2014-06-18,548.75,-0.0,-15.697291353389662,-0.011588818395011913,3988.0970394229994
2014-06-19,557.0,-0.0,-14.28511969105833,-0.011587577818772843,3988.0854518451806
2014-06-20,562.25,-0.0,-13.687577155459392,-0.011586340390749683,3988.07386550479
2014-06-23,552.0,-0.0,-12.914660040480998,-0.011585106195980188,3988.062280398594
2014-06-24,550.75,-0.0,-13.440356613006276,-0.011583875316318881,3988.0506965232776
2014-06-25,550.25,-0.0,-13.948686944020235,-0.011582647831801296,3988.0391138754458
2014-06-26,553.0,-0.0,-14.054073300634691,-0.011581423819279735,3988.0275324516265
2014-06-27,557.0,-0.0,-13.778053413725292,-0.011580203354242258,3988.0159522482722
2014-06-30,533.5,-0.0,-10.211683186198426,-0.011578986508993694,3988.0043732617632
2014-07-01,533.0,-0.0,-11.06928296583473,-0.01157777335447463,3987.992795488409
2014-07-02,528.5,-0.0,-11.992566746341181,-0.011576563957987673,3987.981218924451
2014-07-03,525.25,-0.0,-13.000458122420055,-0.011575358386380685,3987.9696435660644
2014-07-04,,-0.0,-12.999915670777803,-0.011574156703318295,3987.958069409361
2014-07-07,517.25,-0.0,-14.006347273816315,-0.011572958971100888,3987.94649645039
2014-07-08,514.75,-0.0,-15.402506109877997,-0.011571765248845622,3987.934924685141
2014-07-09,507.75,-0.0,-16.6860769350031,-0.011570575594760157,3987.9233541095464
2014-07-10,502.5,-0.0,-18.226055386412067,-0.011569390064778418,3987.9117847194816
2014-07-11,493.5,-0.0,-18.738800531660605,-0.011568208713470085,3987.900216510768
2014-07-14,498.25,-0.0,-18.808804168823414,-0.01156703159222161,3987.888649479176
2014-07-15,491.75,-0.0,-19.000135305716093,-0.01156585875150995,3987.8770836204244
2014-07-16,496.5,-0.0,-19.06387557457269,-0.011564690240447817,3987.865518930184
2014-07-17,496.75,-0.0,-19.25906609032353,-0.011563526105419442,3987.8539554040785
2014-07-18,488.0,-0.0,-19.360395243533365,-0.011562366391444812,3987.842393037687
2014-07-21,481.75,-0.0,-19.565097032082736,-0.011561211142179673,3987.830831826545
2014-07-22,478.0,-0.0,-19.822232130870177,-0.011560060399460781,3987.8192717661454
2014-07-23,480.25,-0.0,-19.978016650220578,-0.011558914203305903,3987.807712851942
2014-07-24,479.25,-0.0,-20.0,-0.011557772592368565,3987.79615507935
2014-07-25,482.0,-0.0,-20.0,-0.0115566356034833,3987.7845984437463
2014-07-28,486.75,-0.0,-20.0,-0.011555503273029899,3987.7730429404733
2014-07-29,481.25,-0.0,-20.0,-0.011554375634204916,3987.761488564839
2014-07-30,481.75,-0.0,-20.0,-0.01155325272020491,3987.749935312119
2014-07-31,,-0.0,-20.0,-0.011552134561952698,3987.738383177557
2014-08-01,,-0.0,-20.0,-0.011551021189916355,3987.726832156367
2014-08-04,,-0.0,-20.0,-0.011549912631835468,3987.715282243735
2014-08-05,,-0.0,-20.0,-0.011548808915449627,3987.7037334348197
2014-08-06,484.25,-0.0,-20.0,-0.011547710066679429,3987.692185724753
2014-08-07,479.375,-0.0,-20.0,-0.011546616109626484,3987.6806391086434
2014-08-08,474.0,-0.0,-20.0,-0.011545527068392403,3987.669093581575
2014-08-11,478.25,-0.0,-20.0,-0.011544442964805057,3987.65754913861
2014-08-12,478.75,-0.0,-20.0,-0.011543363819782826,3987.6460057747904
2014-08-13,479.75,-0.0,-20.0,-0.011542289653334592,3987.634463485137
2014-08-14,483.75,-0.0,-20.0,-0.011541220484559744,3987.6229222646525
2014-08-15,487.25,-0.0,-20.0,-0.011540156330283935,3987.6113821083222
2014-08-18,480.75,-0.0,-20.0,-0.011539097207787563,3987.5998430111144
2014-08-19,482.25,-0.0,-20.0,-0.011538043132532039,3987.588304967982
2014-08-20,477.75,-0.0,-20.0,-0.01153699411861453,3987.5767679738633
2014-08-21,478.75,-0.0,-20.0,-0.01153595017922271,3987.565232023684
2014-08-22,482.25,-0.0,-20.0,-0.011534911327998998,3987.553697112356
2014-08-25,477.75,-0.0,-20.0,-0.011533877574947837,3987.542163234781
2014-08-26,474.5,-0.0,-20.0,-0.011532848931892659,3987.5306303858492
2014-08-27,475.0,-0.0,-20.0,-0.011531825407928409,3987.5190985604413
2014-08-28,479.25,-0.0,-20.0,-0.011530807011695288,3987.5075677534296
2014-08-29,476.0,-0.0,-20.0,-0.011529793751378747,3987.4960379596782
2014-09-01,,-0.0,-20.0,-0.011528785633345251,3987.484509174045
2014-09-02,473.75,-0.0,-20.0,-0.011527782664870756,3987.47298139138
2014-09-03,461.25,-0.0,-20.0,-0.011526784850502736,3987.4614546065295
2014-09-04,456.75,-0.0,-20.0,-0.011525792194788664,3987.4499288143347
2014-09-05,466.75,-0.0,-20.0,-0.011524804701821267,3987.438404009633
2014-09-08,458.25,-0.0,-20.0,-0.011523822374329029,3987.4268801872586
2014-09-09,454.25,-0.0,-20.0,-0.011522845215040434,3987.4153573420435
2014-09-10,455.5,-0.0,-20.0,-0.011521873224864976,3987.4038354688187
